Tweet_count,Username,Text,Created_At,Retweets,Likes
1,NetKlips,Kai Cenat under fire for walking in on his 16 year old friend while he uses the restroom 😳 https://t.co/1suLIm71Cr,Thu Mar 13 00:12:15 +0000 2025,0,5
2,ADredemptionSZN,The worst thing Kai cenat ever did was give zoe clout. I’m tired of seeing that loud ass girl,Thu Mar 13 00:16:32 +0000 2025,0,3
3,InternetH0F,T-Pain runs into Kai Cenat at the airport 😂 😂 https://t.co/h5sBLtNtAX,Wed Mar 12 13:00:58 +0000 2025,941,32351
4,DiscussingFilm,"A new State Farm commercial takes place in Gotham City, starring:

• Jason Bateman as Bateman
• SZA as Catwoman
• Kai Cenat as Kai Cenat
• Jordan Howlett as James Gordon https://t.co/KLpyHplFCf",Wed Mar 12 13:02:30 +0000 2025,8634,126410
5,positivesideofx,"Kai Cenat, God bless you man! ✊❤️ https://t.co/i8wHJmiNsW",Wed Mar 12 20:06:55 +0000 2025,691,14580
6,kiIImove,Niggas called me crazy when I said Kai cenat was the new age p diddy https://t.co/mrjaGoP0pG,Wed Mar 12 23:43:47 +0000 2025,0,2
7,dcuworld,"State Farm® and DC have released a new Batman-inspired commercial!

It features Kai Cenat, SZA, Kevin Miles, Jordan Howlett, and Jason 'Bateman'.
https://t.co/js2VHXrTqb",Wed Mar 12 11:32:58 +0000 2025,577,6136
8,Jiz,Why did Kai Cenat do this?? This is actually disgusting. I hope Nike &amp; Twitch see this also Rakai’s mother needs to take him away from them. https://t.co/6mmM2eht8T,Wed Mar 12 23:21:27 +0000 2025,30,1214
9,TeddysHumPillow,My whole timeline is kai cenat slander https://t.co/S34RnuRY1l,Wed Mar 12 23:50:20 +0000 2025,0,12
10,NFL,"Team Speed vs. Team Kai's flag football game was absolute cinema 🔥

@ishowspeedsui | @KaiCenat https://t.co/rne2dttUA9",Wed Feb 12 19:00:01 +0000 2025,41,775
11,sixinchbeys,the concept of using kai cenat skincare products,Wed Mar 12 03:44:00 +0000 2025,1527,38665
12,Kick_Champ,Kai Cenat walked in on a 16 year old in the bathroom and posts it online… wild behavior 😳 https://t.co/T6DR4uTHBE,Wed Mar 12 23:40:27 +0000 2025,14,528
13,scubaryan_,"Lil Rodney Son says ever since Kai Cenat’s Batman marathon, people have been walking up in public and trolling him about his dad 😭 https://t.co/z3qxlKYI96",Tue Mar 11 16:35:02 +0000 2025,830,31136
14,nicekicks,Jake from State Farm hopped on Kai Cenat’s stream and gifted him a pair of Nigel Sylvester’s “Brick-by-Brick” Air Jordan 4s 🧱🔥 https://t.co/i7ouSukovI,Wed Mar 12 02:15:48 +0000 2025,25,352
15,realdrankk,Kai Cenat receiving backlash after walking in on Rakai who is a minor and filming him while he was “using” the bathroom https://t.co/xcu5yDoBGU,Wed Mar 12 23:24:42 +0000 2025,5,302
16,Haufkaf,"""I just made 700 thousand sitting in a room feel like im Kai Cenat""

- Tory Lanez on Mawa Interlude https://t.co/ywPXVJoL7v",Fri Mar 07 05:26:08 +0000 2025,43,465
17,scubaryan_,"Kai Cenat has announced and confirmed that him, Kevin Hart, and Druski have something “VERY HUGE” coming soon 👀🔥 https://t.co/GKIxkOWwh3",Wed Mar 12 04:48:00 +0000 2025,154,8776
18,consequence,"Jason Bateman, SZA, Will Arnett, and Kai Cenat star in an absolutely bonkers Batman spoofing that doubles as a commerical for State Farm → https://t.co/ylESfV0pQE https://t.co/pgtopovoBl",Wed Mar 12 17:23:16 +0000 2025,2,12
