Rank,Name
1,KAICENAT
2,CAEDREL
3,ZACKRAWRR
4,JYNXZI
5,DOTA2_PARAGON_RU
6,CASEOH_
7,LOUD_CORINGA
8,PLAQUEBOYMAX
9,HASANABI
10,加藤純一うん〇ちゃん
11,KAMET0
12,ELIASN97
13,PAPAPLATTE
14,EVELONE2004
15,BUSTER
16,PGL
17,RAMZES
18,FPS_SHAKA
19,NASDAS_OFF
20,SUMMIT1G
21,ECHO_ESPORTS
22,RAINBOW6
23,MISTERMV
24,AMINEMATUE
25,GAULES
26,K4SEN
27,ESLCS
28,PAULINHOLOKOBR
29,TUMBLURR
30,OTPLOL_
31,MAXIMUM
32,BALLERLEAGUE
33,BYSL4M
34,KNEKRO
35,LACY
36,TIMTHETATMAN
37,XQC
38,TARIK
39,ESL_DOTA2
40,LEB1GA
41,STABLERONALDO
42,OHNEPIXEL
43,JUST_NS
44,MIZKIF
45,ILLOJUAN
46,GOTAGA
47,ELXOKAS
48,YOURRAGEGAMING
49,PIKABOOIRL
50,JASONTHEWEEN
51,はんじょう
52,VALORANT
53,THEBAUSFFS
54,SASAVOT
55,VALKYRAE
56,ALANZOKA
57,LIRIK
58,PGL_DOTA2
59,S1MPLE
60,MONTANABLACK88
61,GRONKH
62,RUBIUS
63,LEC
64,SHROUD
65,TEAMLIQUID
66,AURONPLAY
67,EMIRU
68,NOWAY4U_SIR
69,SHLOROX
70,BRATISHKINOFF
71,SHADOWKEKW
72,DEEPINS02
73,叶ちゃんねる
74,STROGO
75,ZARBEX
76,LCK
77,CELLBIT
78,GORGC
79,GRUBBY
80,LOLTYLER1
81,MOONMOON
82,TRYMACS
83,GABEPEIXE
84,WARFRAME
85,DMITRY_LIXXX
86,THEREALMARZAA
87,CLIX
88,RECRENT
89,AUSSIEANTICS
90,FANUM
91,SQUEEZIE
92,QUIN69
93,HANDOFBLOOD
94,TENZ
95,ADAPT
96,NECROS
97,たいじ_たいちゃんねる
98,MOKRYSUCHAR
99,ELAJJAZ
100,RIOT GAMES
101,LUDWIG
102,JLTOMY
103,OW_ESPORTS
104,IRONMOUSE
105,WARTHUNDER_ESPORTS
106,BASTIGHG
107,PIRATESOFTWARE
108,ROCKETLEAGUE
109,EMONGG
110,SODAPOPPIN
111,NORTHERNLION
112,ARTEEZY
113,T2X2
114,KINGSLEAGUE
115,ファン太
116,ASPEN
117,LORD_KEBUN
118,PONTIACMADEDDG
119,ELMARIANA
120,ESLCSB
121,YOUNGMULTI
122,ZERATOR
123,CINNA
124,KMSENKANGOO
125,ETOILES
126,ANTOINEDANIEL
127,JESUSAVGN
128,SIMURGH
129,JERMA985
130,SUPERTF
131,BISTECONEE
132,FORSEN
133,LAZVELL
134,ZUBAREFFF
135,バトラ
136,LOLESPORTSTW
137,DJMARIIO
138,だるまいずごっど
139,STYLISHNOOB4
140,RDCGAMING
141,COHHCARNAGE
142,NMPLOL
143,THEICONLEAGUE
144,LTANORTH
145,SPIUKBS
146,LYDIAVIOLET
147,PAYMONEYWUBBY
148,TIKYJR
149,IMPERIALHAL__
150,TOLKIN
151,MAXIMILIAN_DOOD
152,MIXWELL
153,PGL_CS2
154,SASATIKK
155,BAIANO
156,STRAY228
157,羅傑
158,AGENT00
159,MOKRIVSKYI
160,SINATRAA
161,QUICKYBABY
162,EGORKREED
163,FORTNITE
164,RAVSHANN
165,LUQUET4
166,XARYU
167,MIRA
168,ANGRYGINGE13
169,MARTINCIRIOOK
170,GINGITV
171,LACASADELOSFAMOSCOL
172,CS2_PARAGON_RU
173,SILKY
174,PENTA
175,CDAWGVA
176,MOODA
177,MRSAVAGE
178,ZLOYN
179,UNIVERSOREALITY_HN
180,REZONFN
181,UNBOXHOLICS
182,TCK10
183,THEBURNTPEANUT
184,ZENTREYA
185,LENAGOL0VACH
186,REKKLES
187,PARADEEV1CH
188,MANUUXO
189,K3SOJU
190,柊ツルギ
191,NIX
192,STAIY
193,MCKYTV
194,LOL_NEMESIS
195,YODA
196,FLATS
197,DANGERLYOHA
198,XROHAT
199,AGUSTINUNAPLAY8
200,SCHRADIN
201,ITSSPOIT
202,ハイタニ
203,綠茶
204,JINNYTTY
205,DONA
206,AMAR
207,JUANSGUARNIZO
208,KAYSAN
209,PIETSMIET
210,FAXUTY
211,BYILHANN
212,あっさりしょこー
213,らっだぁ
214,AUZIOMF
215,TECTONE
216,BARBAROUSKING
217,METHOD
218,MISSMIKKAA
219,NEEXCSGO
220,ROSTISLAV_999
221,HUTCHMF
222,ゆゆうた押忍
223,ごっちゃんマイキー
224,UNIVERSOREALITY_LACASA
225,VALORANT_JPN
226,LVNDMARK
227,BONJWA
228,YUGI2X
229,INKMATE0
230,WORLDOFTANKS
231,ギルくん
232,OLDSCHOOLRS
233,LCK_CARRY
234,GRONKHTV
235,JAYCINCOO5
236,SARDOCHE
237,OW_ESPORTS_JP
238,XTHESOLUTIONTV
239,MAGO2DGOD
240,H2P_GUCIO
241,VINESAUCE
242,DOUBLELIFT
243,ARKY
244,SYLVEE
245,METASHI12
246,HIKAKIN
247,ANYME023
248,LOCKING
249,NIKOF
250,MARVELRIVALS
251,EDISON
252,EWROON
253,NICKMERCS
254,RIVERS_GG
255,TUBBO
256,EASPORTSFC
257,REZO
258,TELEFE
259,DIARIOMARCA
260,QUACKITYTOO
261,PAULETA_TWITCH
262,STREAMINGITALIAPERTE
263,LOCKLEAR
264,DOMINGO
265,GENSYXA
266,餐餐自由配
267,XMERGHANI
268,GENESISGG
269,KYOOTBOT
270,MAGIC
271,DANILA_GORILLA
272,蝦愛橘子
273,JASPER7SE
274,WANKILSTUDIO
275,EXTRAEMILY
276,MAZELLOVVV
277,GAMERBROTHER
278,ASPASZIN
279,CRITICAS_QLS
280,CT0M
281,SKYWHYWALKER
282,DRACON
283,RUNTHEFUTMARKET
284,ROOTTHEGAMER
285,NICO_LA
286,GERARDROMERO
287,老皮
288,POKIMANE
289,REALZBLUEWATER
290,SACY
291,FACADA
292,STEEL
293,AHMPY
294,SINGSING
295,AGRAELUS
296,STARIY_BOG
297,OESTAGIARIO
298,THEREALKNOSSI
299,ありさか
300,CASIMITO
301,らいじん
302,BIJUSAN
303,IZAKOOO
304,DARIOMOCCIATWITCH
305,HAPPYHAPPYGAL
306,ROBCDEE
307,INSYM
308,ボドカさん
309,なるお_
310,嬌兔
311,JOLAVANILLE
312,DUKE
313,TISISCHUBECH
314,TRAYTONLOL
315,布団ちゃんと申します
316,T90OFFICIAL
317,FONTINNELERJ
318,JONVLOGS
319,AUSTINSHOW
320,39DAPH
321,MANDE
322,2XRAKAI
323,C_A_K_E
324,NINJA
325,REPAZ
326,ZELING
327,XQN_THESAD
328,SHANKS_TTV
329,BLACKUFA
330,YBICANOOOOBOV
331,WELOVEGAMES
332,NL_KRIPP
333,DOTA2_PARAGON_RU2
334,赤見かるび
335,GORDAONS1
336,恭一郎
337,AZTECROSS
338,EAMADDENNFL
339,西南69
340,SILVERNAME
341,SUBROZA
342,FERRETSOFTWARE
343,CROISSANTSTRIKETV
344,SUNGLITTERS
345,JOUEUR_DU_GRENIER
346,GLORIOUS_E
347,JOLYGAMES
348,DRAKEOFFC
349,RENATKO
350,DISTORTION2
351,SQUEEX
352,IWDOMINATE
353,KYEDAE
354,FROGGEROW
355,STINTIK
356,VOODOOSH
357,ACEU
358,ZIQOFTW
359,NISQYY
360,TERRACID
361,NIKOLARN
362,夢野あかり
363,DAKILLZOR
364,MAFANYAKING
365,FRENEH
366,ROSTIKFACEKID
367,MICHOU
368,HENYATHEGENIUS
369,AUNKERE
370,RYBSONLOL_
371,世誠
372,JOE_BARTOLOZZI
373,AYDAN
374,SKILLZ0R1337
375,わいわいの部屋
376,CR_VANILLA
377,GAMESDONEQUICK
378,DESST3
379,VEDAL987
380,REVENANT
381,MINERVA
382,ITSKATCHII
383,PAYO
384,NADESHOT
385,GUZU
386,NEVER_LOSES
387,OTZDARVA
388,TEEGRIZZLEY
389,FILIAN
390,花輪同學
391,しんじさん
392,CR_RION
393,CAPCOMFIGHTERS_JP
394,MELHARUCOS
395,IM_DONTAI
396,VELJA_LOL
397,ASIANBUNNYX
398,WILLNEFF
399,GALEGUINS
400,DES0UT
401,THE_HAPPY_HOB
402,DOUGDOUG
403,CLEMOVITCH
404,TA1YO_TV
405,ANNIEFUCHSIA
406,SPYGEA
407,ELDED
408,5OPKA
409,FUGU_FPS
410,SMOKE
411,SPKCLB
412,TWITCHRIVALS
413,ROCKETBAGUETTE
414,HEARTDOTA23
415,PIUZINHO
416,KINGSLEAGUE_IT
417,KAYDOP
418,ADMIRALBAHROO
419,GUACAMOLEMOLLY
420,ZOOMAA
421,SCUMP
422,LILSIMSIE
423,KINGSLEAGUEAMERICAS
424,BROXAH
425,六希夫
426,RICCI
427,THEGREFG
428,CONTROCALCIO__
429,DHALUCARD
430,TIMTHETATMANVODS
431,NLCLOL
432,EXATLONALLSTAR
433,GORILON
434,HARDGAMECHANNEL
435,ぐちつぼ
436,TONIKI
437,接接
438,TPABOMAH
439,SYKKUNO
440,NBA2KLEAGUE
441,SEREGA_PIRAT
442,KROOZZNS
443,CENTRAL_COMMITTEE
444,NASA
445,ESFANDTV
446,LUCASALLES69
447,ML7SUPPORT
448,FRODAN
449,RTPARENACS
450,CS2_MAINCAST
451,MAR3LG
452,PAPESAN
453,XOP0
454,RDULIVE
455,PELAAJATCOM
456,CHOWH1
457,NERVARIEN
458,OFFICERMESSER
459,ROBINSONGZ
460,CRYSTALMOLLY
461,M2CG
462,DEKARLDENT
463,WIRTUAL
464,MONGRAAL
465,LUCASRAVANHA
466,WARCRAFT
467,HITSQUADGODFATHER
468,KSPKSP
469,BRAWLHALLA
470,ANNOYING
471,KUSSIA88
472,MASTERSNAKOU
473,TOMATEKING
474,PGL_DOTA2EN2
475,白波らむね
476,ORSLOK
477,FOXRABBIT
478,AGUSTABELL212
479,TOMATO
480,CHESS
481,MORPHE_YA
482,ALTAIR
483,JOKERDTV
484,LPLENGLISH
485,LEVA2K
486,QOJQVA
487,CHILLEDCHAOS
488,FUBGUN
489,LIMINHAG0D
490,FL0M
491,BELLARAMATV
492,MOVE_MIND
493,SOLARYHS
494,DEKKSTER
495,MOMAN
496,切嘛
497,ALDERIATE
498,EVO
499,AUGUST
500,TONTON
501,FAIDE
502,ZIZARAN
503,REAL_BAZZI
504,SYMFUHNY
505,PEEREIRA7
506,SOLO
507,KKATAMINA
508,PONCE
509,WAOLOL1
510,THETYLILSHOW
511,FOBM4STER
512,DOIGBY
513,ZWEBACKHD
514,NISSAXTER
515,LACARI
516,FATHER_JIMMY_
517,MRDZINOLD
518,BKINHO
519,ORKPOD
520,HELYDIA
521,DOGDOG
522,CCT_CS
523,WHOPLOHOYPAREN
524,SYLVAINLYVE
525,FOOLISH
526,哈耿
527,DOTA2_MAINCAST
528,BAITYBAIT
529,ALDO_GEO
530,JEEFHS
531,烟花蹦蹦蹦
532,NEUU
533,MICHIMOCHIEVEE
534,MERTABIMULA
535,SKILL4LTU
536,SKYYART
537,PREMIERTWO
538,NADIA
539,SEQUISHA
540,PHUNKROYAL
541,UFDTECH
542,MORTDOG
543,艾怡
544,FORG1
545,BOXBOX
546,番田長助
547,ILAME
548,FISSURE_DOTA_EN
549,BRINO
550,CYR
551,BRAWLSTARS
552,SPURSITO
553,DRUTUTT
554,GRENDY
555,QLNEK
556,SIDNEYEWEKA
557,NIKLASWILSON
558,RTAINJAPAN
559,LVPES
560,DINAH
561,SONYSANDIEGOSTUDIO
562,SINDER
563,DERAJN
564,GMHIKARU
565,THEGUILL84
566,EKATZE007
567,CAPCOMFIGHTERS
568,STEELMAGE
569,SLIGGYTV
570,WARTHUNDER_ESPORTS_RU
571,JANKOS
572,ALPHACAST
573,TGLTN
574,LILAGGY
575,BY_OWL
576,おにや
577,ROIER
578,KUBAFPS
579,虧皮
580,SHYLILY
581,FRANLUQUE10
582,HISWATTSON
583,JAIMEMELLADO_
584,PATHOFEXILE
585,POBELTER
586,KOKONUTS
587,TREY24K
588,RAINBOW6BR
589,MYNTHOS
590,PESADILLAENLACOCINATV
